WORD,VALIDITY,TYPE,BLOCK,SUBBLOCK
stand,word,english,A,1
medical,word,english,A,1
cannot,word,english,A,1
instead,word,english,A,1
order,word,english,A,1
strategy,word,english,A,1
details,word,english,A,1
starting,word,english,A,1
straight,word,english,A,1
whatever,word,english,A,1
countries,word,english,A,1
features,word,english,A,1
student,word,english,A,1
started,word,english,A,1
phone,word,english,A,1
speak,word,english,A,1
drivers,word,english,A,1
children,word,english,A,1
early,word,english,A,1
month,word,english,A,1
contains,word,english,A,1
selling,word,english,A,1
includes,word,english,A,1
world,word,english,A,1
legal,word,english,A,1
rather,word,english,A,1
effort,word,english,A,1
itself,word,english,A,1
example,word,english,A,1
opinions,word,english,A,1
saying,word,english,A,1
coming,word,english,A,1
safety,word,english,A,1
provide,word,english,A,1
central,word,english,A,1
maybe,word,english,A,1
quite,word,english,A,1
night,word,english,A,1
allowed,word,english,A,1
makes,word,english,A,1
house,word,english,A,1
server,word,english,A,1
climate,word,english,A,1
issues,word,english,A,1
wrong,word,english,A,1
function,word,english,A,1
party,word,english,A,1
women,word,english,A,1
create,word,english,A,1
difficult,word,english,A,1
manager,word,english,A,1
received,word,english,A,1
ideas,word,english,A,1
gives,word,english,A,1
written,word,english,A,1
thinking,word,english,A,1
bring,word,english,A,1
death,word,english,A,1
version,word,english,A,1
trouble,word,english,A,1
auction,word,english,A,1
reason,word,english,A,1
woman,word,english,A,1
machine,word,english,A,1
mention,word,english,A,1
process,word,english,A,1
above,word,english,A,1
decided,word,english,A,1
final,word,english,A,1
family,word,english,A,1
response,word,english,A,1
sense,word,english,A,1
knowledge,word,english,A,1
terms,word,english,A,1
break,word,english,A,1
consider,word,english,A,1
perhaps,word,english,A,1
locus,word,english,A,1
lower,word,english,A,1
account,word,english,A,1
reality,word,english,A,1
response,word,english,A,1
analysis,word,english,A,1
arrival,word,english,A,1
building,word,english,A,1
driver,word,english,A,1
small,word,english,A,1
happen,word,english,A,1
start,word,english,A,1
anybody,word,english,A,1
anyway,word,english,A,1
added,word,english,A,1
while,word,english,A,1
working,word,english,A,1
window,word,english,A,1
voice,word,english,A,1
helps,word,english,A,1
perfect,word,english,A,1
below,word,english,A,1
different,word,english,A,1
growth,word,english,A,1
posts,word,english,A,1
education,word,english,A,1
meeting,word,english,A,1
factor,word,english,A,1
federal,word,english,A,1
together,word,english,A,1
evening,word,english,A,1
center,word,english,A,1
president,word,english,A,1
various,word,english,A,1
earth,word,english,A,1
error,word,english,A,1
certain,word,english,A,1
several,word,english,A,1
light,word,english,A,1
should,word,english,A,1
movie,word,english,A,1
shipping,word,english,A,1
history,word,english,A,1
program,word,english,A,1
white,word,english,A,1
better,word,english,A,1
required,word,english,A,1
action,word,english,A,1
receive,word,english,A,1
client,word,english,A,1
whole,word,english,A,1
later,word,english,A,1
leave,word,english,A,1
heard,word,english,A,1
point,word,english,A,1
statement,word,english,A,1
parts,word,english,A,1
except,word,english,A,1
artifact,word,english,A,1
official,word,english,A,1
lists,word,english,A,1
second,word,english,A,1
company,word,english,A,1
vehicle,word,english,A,1
screen,word,english,A,1
items,word,english,A,1
network,word,english,A,1
image,word,english,A,1
result,word,english,A,1
service,word,english,A,1
state,word,english,A,1
write,word,english,A,1
truth,word,english,A,1
local,word,english,A,1
situation,word,english,A,1
talking,word,english,A,1
control,word,english,A,1
members,word,english,A,1
training,word,english,A,1
wroven,non_word,english,A,2
grait,non_word,english,A,2
miself,non_word,english,A,2
femily,non_word,english,A,2
quorble,non_word,english,A,2
poast,non_word,english,A,2
triff,non_word,english,A,2
contanes,non_word,english,A,2
prangle,non_word,english,A,2
writen,non_word,english,A,2
charmet,non_word,english,A,2
takis,non_word,english,A,2
forse,non_word,english,A,2
lighht,non_word,english,A,2
repronse,non_word,english,A,2
fronker,non_word,english,A,2
driblex,non_word,english,A,2
plorfin,non_word,english,A,2
starded,non_word,english,A,2
vestern,non_word,english,A,2
murb,non_word,english,A,2
ordar,non_word,english,A,2
snorp,non_word,english,A,2
trate,non_word,english,A,2
plurnish,non_word,english,A,2
minusts,non_word,english,A,2
trutth,non_word,english,A,2
graskel,non_word,english,A,2
twisk,non_word,english,A,2
serwer,non_word,english,A,2
advanze,non_word,english,A,2
warld,non_word,english,A,2
reciese,non_word,english,A,2
cherm,non_word,english,A,2
quimpal,non_word,english,A,2
colal,non_word,english,A,2
popolar,non_word,english,A,2
chrumble,non_word,english,A,2
bluud,non_word,english,A,2
feild,non_word,english,A,2
blorp,non_word,english,A,2
cuorse,non_word,english,A,2
rulus,non_word,english,A,2
tworn,non_word,english,A,2
chrair,non_word,english,A,2
moddel,non_word,english,A,2
chindle,non_word,english,A,2
tregmur,non_word,english,A,2
snimble,non_word,english,A,2
rater,non_word,english,A,2
suport,non_word,english,A,2
wotch,non_word,english,A,2
wonan,non_word,english,A,2
tharv,non_word,english,A,2
slurn,non_word,english,A,2
slory,non_word,english,A,2
smavorn,non_word,english,A,2
notse,non_word,english,A,2
chane,non_word,english,A,2
secutiry,non_word,english,A,2
vords,non_word,english,A,2
screan,non_word,english,A,2
beelow,non_word,english,A,2
beccome,non_word,english,A,2
wheter,non_word,english,A,2
localion,non_word,english,A,2
sproon,non_word,english,A,2
tebbar,non_word,english,A,2
claggle,non_word,english,A,2
flibber,non_word,english,A,2
slindor,non_word,english,A,2
straigt,non_word,english,A,2
grack,non_word,english,A,2
cowntry,non_word,english,A,2
mentune,non_word,english,A,2
cecond,non_word,english,A,2
spleem,non_word,english,A,2
prindux,non_word,english,A,2
addid,non_word,english,A,2
morkle,non_word,english,A,2
hellps,non_word,english,A,2
errur,non_word,english,A,2
wibble,non_word,english,A,2
lelal,non_word,english,A,2
slong,non_word,english,A,2
frimble,non_word,english,A,2
adress,non_word,english,A,2
creat,non_word,english,A,2
canot,non_word,english,A,2
plaze,non_word,english,A,2
mibber,non_word,english,A,2
nohice,non_word,english,A,2
splunge,non_word,english,A,2
respend,non_word,english,A,2
frabble,non_word,english,A,2
stert,non_word,english,A,2
jindrel,non_word,english,A,2
nown,non_word,english,A,2
dorpine,non_word,english,A,2
parudy,non_word,english,A,2
evedence,non_word,english,A,2
sertain,non_word,english,A,2
sisuation,non_word,english,A,2
wargle,non_word,english,A,2
chlidren,non_word,english,A,2
clopt,non_word,english,A,2
frint,non_word,english,A,2
genurally,non_word,english,A,2
histury,non_word,english,A,2
skindle,non_word,english,A,2
troubal,non_word,english,A,2
caces,non_word,english,A,2
exsept,non_word,english,A,2
thouh,non_word,english,A,2
colus,non_word,english,A,2
setwene,non_word,english,A,2
monitar,non_word,english,A,2
concider,non_word,english,A,2
fleedon,non_word,english,A,2
sauth,non_word,english,A,2
pagis,non_word,english,A,2
trems,non_word,english,A,2
tuday,non_word,english,A,2
resune,non_word,english,A,2
sund,non_word,english,A,2
clieient,non_word,english,A,2
teath,non_word,english,A,2
ecudation,non_word,english,A,2
leve,non_word,english,A,2
briffle,non_word,english,A,2
erth,non_word,english,A,2
likelie,non_word,english,A,2
nunbers,non_word,english,A,2
squorble,non_word,english,A,2
acatly,non_word,english,A,2
vursion,non_word,english,A,2
blistow,non_word,english,A,2
trindle,non_word,english,A,2
saing,non_word,english,A,2
grench,non_word,english,A,2
macine,non_word,english,A,2
wice,non_word,english,A,2
liwing,non_word,english,A,2
privet,non_word,english,A,2
worf,non_word,english,A,2
thiking,non_word,english,A,2
togehter,non_word,english,A,2
snaffle,non_word,english,A,2
makis,non_word,english,A,2
pover,non_word,english,A,2
ponit,non_word,english,A,2
crenst,non_word,english,A,2
hapen,non_word,english,A,2
sens,non_word,english,A,2
yagya  ,word,hinglish,D,1
wajan,word,hinglish,D,1
vyakti,word,hinglish,D,1
vivaah,word,hinglish,D,1
virodhi,word,hinglish,D,1
vipaksh,word,hinglish,D,1
vikas,word,hinglish,D,1
vikalp,word,hinglish,D,1
