Word,Frequency,Ph_Count,Letter_Count,Validity,Script,Language,Listing
अंक ,129564,3,NA,Word,Native,Hindi,1
अंकुश ,63101,5,NA,Word,Native,Hindi,1
अंत ,85690,3,NA,Word,Native,Hindi,1
अंतिम ,232917,5,NA,Word,Native,Hindi,1
अंदर ,278064,5,NA,Word,Native,Hindi,1
अक्सर ,64382,5,NA,Word,Native,Hindi,1
स्थित ,1158700,4,NA,Word,Native,Hindi,1
अगर ,379004,4,NA,Word,Native,Hindi,1
अगले ,125249,4,NA,Word,Native,Hindi,1
अच्छा ,80689,6,NA,Word,Native,Hindi,1
अजीत ,94719,5,NA,Word,Native,Hindi,1
अतिरिक्त ,198993,7,NA,Word,Native,Hindi,1
अधिक ,730890,4,NA,Word,Native,Hindi,1
अधिकार ,163575,6,NA,Word,Native,Hindi,1
अधिकारी ,1228920,7,NA,Word,Native,Hindi,1
अध्यक्ष ,1257925,6,NA,Word,Native,Hindi,1
अनशन ,87801,5,NA,Word,Native,Hindi,1
अनाज ,80683,5,NA,Word,Native,Hindi,1
अनीता ,46913,5,NA,Word,Native,Hindi,1
अनुदान ,68364,6,NA,Word,Native,Hindi,1
अनेक ,98369,4,NA,Word,Native,Hindi,1
अन्य ,1327415,3,NA,Word,Native,Hindi,1
अपराध ,112163,5,NA,Word,Native,Hindi,1
अपील ,195363,4,NA,Word,Native,Hindi,1
अब्दुल ,76286,5,NA,Word,Native,Hindi,1
अभिभावक ,64889,8,NA,Word,Native,Hindi,1
अभियान ,712574,6,NA,Word,Native,Hindi,1
अभी ,634065,3,NA,Word,Native,Hindi,1
अमर ,76988,4,NA,Word,Native,Hindi,1
अलावा ,712645,5,NA,Word,Native,Hindi,1
अवकाश ,70389,5,NA,Word,Native,Hindi,1
अवगत ,157281,5,NA,Word,Native,Hindi,1
अवतार ,56271,5,NA,Word,Native,Hindi,1
अवैध ,382691,4,NA,Word,Native,Hindi,1
अस्पताल ,1151277,6,NA,Word,Native,Hindi,1
आगमन ,40287,5,NA,Word,Native,Hindi,1
आगामी ,139769,5,NA,Word,Native,Hindi,1
आगे ,404987,3,NA,Word,Native,Hindi,1
आग्रह ,57075,5,NA,Word,Native,Hindi,1
आचार्य ,64347,6,NA,Word,Native,Hindi,1
